Clip Name,From,To,Parents,Transition Frame,IsActive,State Machine Paths,Duration,LoopCheck,TangentCheck,Previewed?,Exported?,Rendered,Cycles Reviewed,Post Processed,Video player OK,Video player notes,,,,,,,,,,
Front_IdleA,1,150,Front,,FALSE,,150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Front_To_Left,150,186,Front_Left,,TRUE,Right-Right_Front-Front,37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Left_To_Front,335,371,Left_Front,,TRUE,Left-Left_Front-Front,37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Front_To_Right,371,407,Front_Right,,TRUE,Front-Front_Left-Left,37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Right_To_Front,556,592,Right_Front,,TRUE,Front-Front_Right-Right,37,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,Right_To_Front,Right_To_Front,Right_To_Front,Right_To_Front,Right_To_Front
Left_IdleA,186,335,Left,,FALSE,Right-Right_Left-Left,150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Right_IdleA,407,556,Right,,FALSE,Left-Left_Right-Right,150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Front_IdleB,592,920,Front,,FALSE,,329,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Front_Yawn,920,1009,Front,,FALSE,,90,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Front_ShakeHead,1009,1170,Front,,TRUE,,162,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Need to rener Eveyr Frame at 60FPS,,,,,,,,,,
